Household_ID,Vulnerability_Category,Household_Size,Dependency_Ratio,Primary_Income_Source,Employment_Status,Monthly_Income,Food_Assistance_Received,Cash_Assistance_Received,Total_Assistance_Value,Monthly_Expenditure,Current_Debt_Level,Debt_Status,Food_Consumption_Score,Food_Security_Status,Head_of_Household_Gender,Head_of_Household_Age,Female_Headed_Household,Disability_In_Household,Chronic_Illness_In_Household,Elderly_Members_Count,Children_Under_5_Count,Years_In_Camp
14415,1,8,1.04,business,Self-Employed,2733,3479,3677,7156,2306,3265,Medium,22.57,Mod,FEMALE,58,no,No,No,0,3,16
3716,4,3,2.11,agriculture,employd,7587,8130,8790,16920,7323,8464,High,78.33,Insecure,f,47,yes,Y,No,0,0,11
4362,2,7,2.31,aid,SelfEmployed,2503,3920,3237,7157,3127,4497,Med,21.28,Insecur,male,39,Yes,yes,No,0,1,5
15595,4,6,1.69,Agriculture,employd,9424,10914,10575,21489,10529,2757,Medium,100,Insecur,Male,47,yes,Y,N,1,4,20
6242,4,8,1.87,aid,SelfEmployed,8359KES,9724,9458,19182,8743,9531,High,91.92,Insecure,M,58,no,No,N,3,2,15
2518,3,6,1.39,casual labor,employd,3952,5934,5153,11087,3688,8603,Hgh,45.02,Insecure,FEMALE,66,No,yes,N,2,1,10
2352,2,9,2.17,trading,Self-Employed,"2,571",3782,4037,7819,3614,9199,Low,35,Insecur,Male,38,No,yes,Yes,2,0,10
7573,4,5,1.71,business,unemp,7715,9648,8842,18490,9130,5401,Med,77.97,Secure,M,45,No,No,No,1,1,16
10522,4,11,0.77,Trading,Unemployed,8216,9852,9194,19046,8855,7361,High,67.27,Sec,Male,44,Y,No,Y,1,2,10
5149,3,8,0.49,Casual Labor,Employed,5356,6820,6329,13149,7274,5870,Low,49.6,Insecur,f,72,N,no,No,2,4,17
13602,1,7,0.87,aid,Self-Employed,1446,2206,2535,4741,1653,3505,High,21.38,Sec,f,74,Yes,no,No,0,5,16
3087,4,6,1.55,Trading,employd,8448,10015,9198,19213,9344,5064,High,85.78,Mod,Femal,49,yes,N,Y,0,1,14
7382,1,10,2.91,trading,SelfEmployed,-401,706,803,1509,560,8328,High,4.79,Insecur,FEMALE,36,Y,no,no,0,3,19
14797,2,8,2.78,Agriculture,unemp,2862,4441,3398,7839,3429,4438,High,17.04,Sec,FEMALE,23,Yes,N,no,1,2,11
12406,3,6,0.09,trading,employd,5278,6164,6453,12617,6129,784,Med,42.95,Secure,FEMALE,23,N,yes,No,1,2,0
13805,3,6,1.1,aid,unemp,4573,5741,5783,11524,4340,4171,Lw,48.14,Insecur,f,80,N,N,yes,0,4,3
16133,1,4,2.66,aid,employd,1994,3351,3170,6521,1521,972,Medium,17.7,Secure,male,33,N,N,No,3,2,8
12113,4,8,2.88,business,unemp,9344,11047,10091,21138,8993,2477,Lw,87.91,Mod,FEMALE,44,No,Yes,No,1,2,5
3522,4,6,0.66,Casual Labor,Self-Employed,7766,8871,8159,17030,8335,8372,Med,79.35,Sec,male,43,No,No,Y,0,1,15
16772,1,6,2.96,aid,Unemployed,1144,2308,2065,4373,2724,7168,Med,18.51,Secure,Femal,56,yes,Y,no,0,0,4
12645,1,3,0.49,casual labor,employd,"2,001",3227,2624,5851,2424,1676,Lw,21.3,Insecure,M,42,no,N,yes,0,3,4
11564,2,4,0.12,Casual Labor,Self-Employed,1416,2746,2164,4910,2839,6888,Medium,9.54,Insecure,Male,31,yes,yes,Y,3,2,18
14085,1,5,2.23,Business,SelfEmployed,155,1702,1100,2802,1041,5044,Medium,0,Moderate,Femal,39,N,no,yes,1,1,9
14237,1,2,2.84,Aid,unemp,2604,4425,3967,8392,2464,7331,Medium,35.74,Insecure,M,19,no,N,No,0,1,1
9313,4,8,0.43,agriculture,Unemployed,9174,9753,10424,20177,11015,8433,Low,88.26,Insecure,FEMALE,41,N,yes,N,0,2,3
10232,1,7,0.85,Casual Labor,employd,2217,2809,3019,5828,2445,8,Med,19.74,Sec,Male,21,No,N,N,0,1,19
10856,1,12,1.53,trading,employd,2023,3886,3130,7016,2730,7103,Medium,8.97,Moderate,Femal,58,Y,no,Yes,1,3,14
3190,2,3,0.05,Trading,unemp,"4,715",6086,5581,11667,6307,1777,Hgh,45.35,Insecur,Femal,54,Y,Y,N,0,5,9
1613,3,6,1.24,aid,Employed,4.0k,5674,5186,10860,4345,5441,Hgh,39.54,Insecure,M,29,No,N,Y,5,1,1
8070,4,2,0.49,aid,employd,6872,8811,8362,17173,8365,3663,Hgh,59.62,Moderate,Femal,33,No,Yes,Yes,1,3,4
7502,3,3,2.85,casual labor,Employed,3982,5229,5457,10686,4637,7517,Lw,31.5,Sec,Male,53,Yes,Yes,No,0,4,6
9139,4,8,2.58,Trading,SelfEmployed,8540,10182,"9,541",19723,10510,3969,Lw,86.11,Secure,Male,76,yes,No,yes,0,0,12
5785,1,4,1.07,trading,unemp,1790,2713,2899,5612,3553,2994,Hgh,28.41,Insecure,Male,55,N,N,No,4,4,2
10413,1,6,1.8,Business,unemp,2318,4175,3349,7524,1893,3296,Medium,5.88,Secure,Femal,68,N,Y,no,2,1,17
13076,1,9,0.19,agriculture,employd,696,2404,1726,4130,1770,2033,Hgh,5.49,Insecure,FEMALE,71,yes,No,yes,2,0,0
11313,3,10,1.69,Trading,Employed,3500,4694,4137,8831,4394,896,Low,23.43,Insecur,Male,78,no,yes,N,0,1,3
8773,1,11,0.56,Trading,employd,2124,3103,3118,6221,2199,4133,Medium,19.19,Moderate,male,68,No,N,no,1,1,5
